0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:29:30 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:29:52 +0900] "GET /Hospital_Reservation/view/ReservationPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:29:52 +0900] "GET /Hospital_Reservation/view/Reservation.jsp HTTP/1.1" 200 6338
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:29:52 +0900] "GET /admin/clinic/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:29:53 +0900] "GET /Hospital_Reservation/view/rsv_Login.jsp?ydate=2016-06-01%2000:29&doctor=Doctor1&subject=Internal%20Medicine HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:29:53 +0900] "GET /Hospital_Reservation/view/rsv_diagnosis.jsp?ydate=2016-06-01%2000:29&doctor=Doctor1&subject=Internal%20Medicine HTTP/1.1" 200 4834
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:29:53 +0900] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:29:53 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:29:55 +0900] "POST /Hospital_Reservation/view/rsvPro.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:29:59 +0900] "GET /Hospital_Reservation/view/rsv_Confirm.jsp HTTP/1.1" 200 6948
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:29:59 +0900] "GET /admin/clinic/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:30:03 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3636
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:30:03 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:30:03 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:30:07 +0900] "GET /Hospital_Reservation/view/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:30:07 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3677
